"","latitude","longitude","category","hours","crashyn"
"1",-37.50764331,144.6149405,"Serious","03:54:00","Crash"
"2",-37.34367404,145.9682247,"Serious","06:00:00","Crash"
"3",-36.8143342,144.2321217,"Serious","05:00:00","Crash"
"4",-38.20796746,146.1259396,"No Serious Injury","05:42:00","Crash"
"5",-38.18368078,144.5501947,"Serious","23:40:00","Crash"
"6",-38.07760256,146.549531,"Serious","23:50:00","Crash"
"7",-37.60030185,144.2502965,"Serious","03:49:00","Crash"
"8",-37.93030715,147.6140552,"Serious","00:20:00","Crash"
"9",-36.01885329,143.7478467,"Serious","00:05:00","Crash"
"10",-36.38813,145.4007,"No Serious Injury","05:55:00","Crash"
"11",-37.43668,143.4684,"Serious","05:55:00","Crash"
"12",-35.95095,145.6598,"Serious","02:00:00","Crash"
"13",-37.04983,144.2922,"No Serious Injury","04:49:00","Crash"
"14",-36.38949,145.3605,"Serious","03:50:00","Crash"
"15",-36.79204,144.2968,"Serious","01:15:00","Crash"
"16",-37.11273,145.0917,"Serious","01:55:00","Crash"
"17",-36.43846,145.7947,"Serious","02:30:00","Crash"
"18",-37.17296,143.5319,"Serious","04:00:00","Crash"
"19",-38.19218,146.5524,"Serious","22:15:00","Crash"
"20",-34.16905,142.1432,"Serious","02:35:00","Crash"
"21",-38.20319,146.0597,"No Serious Injury","02:30:00","Crash"
"22",-36.08287,146.7957,"Serious","02:48:00","Crash"
"23",-37.88535,141.7921,"Serious","23:30:00","Crash"
"24",-36.45479,145.2189,"Serious","04:00:00","Crash"
"25",-36.68327,145.6684,"No Serious Injury","05:20:00","Crash"
"26",-38.2066,144.5457,"Serious","05:55:00","Crash"
"27",-38.35796,142.5097,"Serious","23:00:00","Crash"
"28",-36.55231,145.9904,"Fatal","01:30:00","Crash"
"29",-37.87786,147.994,"No Serious Injury","22:20:00","Crash"
"30",-37.28152,142.9273,"No Serious Injury","03:15:00","Crash"
"31",-38.16897,144.3761,"No Serious Injury","06:00:00","Crash"
"32",-37.00952,144.9642,"Serious","04:44:00","Crash"
"33",-38.09715,147.0975,"Serious","22:34:00","Crash"
"34",-37.98993,143.2895,"No Serious Injury","01:00:00","Crash"
"35",-37.02946,146.0929,"Serious","00:45:00","Crash"
"36",-37.93703,141.7614,"Serious","05:00:00","Crash"
"37",-37.56398,143.8656,"No Serious Injury","22:02:00","Crash"
"38",-36.63151,146.8495,"Serious","03:20:00","Crash"
"39",-36.03659,146.1632,"Serious","04:15:00","Crash"
"40",-38.39695,143.5814,"No Serious Injury","00:40:00","Crash"
"41",-37.358,144.7379,"Serious","00:15:00","Crash"
"42",-37.55975,143.8587,"No Serious Injury","22:50:00","Crash"
"43",-37.02486,145.1733,"Serious","23:05:00","Crash"
"44",-36.98039,145.1423,"Serious","23:00:00","Crash"
"45",-36.41051,145.4619,"No Serious Injury","23:34:00","Crash"
"46",-38.1862,146.54,"No Serious Injury","22:03:00","Crash"
"47",-36.04465,144.5605,"Serious","01:00:00","Crash"
"48",-38.02391,144.3696,"No Serious Injury","00:30:00","Crash"
"49",-38.00863,144.4784,"Serious","05:01:00","Crash"
"50",-38.20697,144.2857,"Serious","22:40:00","Crash"
"51",-38.42203,145.5602,"No Serious Injury","05:30:00","Crash"
"52",-38.0119,144.5284,"Fatal","03:20:00","Crash"
"53",-36.66401,146.6893,"Serious","23:00:00","Crash"
"54",-35.65016,143.8414,"Serious","22:10:00","Crash"
"55",-36.46802,145.9314,"Serious","22:45:00","Crash"
"56",-38.33089,145.9022,"Serious","00:01:00","Crash"
"57",-35.97045,145.7212,"No Serious Injury","06:00:00","Crash"
"58",-38.60772,145.5888,"Fatal","02:00:00","Crash"
"59",-38.20541,146.302,"No Serious Injury","03:40:00","Crash"
"60",-37.07077,144.2278,"Serious","03:15:00","Crash"
"61",-38.14789,144.3548,"No Serious Injury","04:15:00","Crash"
"62",-37.86175,147.5101,"No Serious Injury","22:30:00","Crash"
"63",-36.13981,146.9515,"No Serious Injury","22:00:00","Crash"
"64",-38.52538,145.7303,"Serious","04:10:00","Crash"
"65",-37.44497,143.3463,"Serious","01:00:00","Crash"
"66",-38.60922,145.6346,"No Serious Injury","00:30:00","Crash"
"67",-37.54971,144.0594,"Serious","23:10:00","Crash"
"68",-37.48196,144.6045,"No Serious Injury","04:30:00","Crash"
"69",-38.51442,146.6383,"Serious","04:00:00","Crash"
"70",-38.22727,144.5443,"No Serious Injury","23:10:00","Crash"
"71",-37.52024,145.7339,"Serious","00:25:00","Crash"
"72",-38.14276,144.3599,"No Serious Injury","22:00:00","Crash"
"73",-37.9668,142.54,"No Serious Injury","03:30:00","Crash"
"74",-36.9215,144.2218,"No Serious Injury","22:25:00","Crash"
"75",-36.62061,146.8169,"Serious","03:30:00","Crash"
"76",-36.14132,144.735,"No Serious Injury","22:00:00","Crash"
"77",-36.37331,145.3944,"Serious","23:59:00","Crash"
"78",-38.23518,144.2176,"Fatal","00:45:00","Crash"
"79",-37.86958,147.8594,"Serious","23:00:00","Crash"
"80",-38.22561,144.5864,"No Serious Injury","00:20:00","Crash"
"81",-37.56675,143.8833,"No Serious Injury","04:25:00","Crash"
"82",-38.16212,146.8755,"No Serious Injury","22:00:00","Crash"
"83",-36.23439,141.4865,"Serious","04:30:00","Crash"
"84",-36.32855,146.4647,"No Serious Injury","03:00:00","Crash"
"85",-38.15244,145.9285,"No Serious Injury","02:15:00","Crash"
"86",-36.32339,145.3952,"Serious","05:00:00","Crash"
"87",-34.20352,142.14,"No Serious Injury","02:00:00","Crash"
"88",-38.38484,142.4809,"No Serious Injury","03:45:00","Crash"
"89",-36.76746,144.2758,"Serious","23:30:00","Crash"
"90",-38.18452,144.4179,"Serious","22:15:00","Crash"
"91",-37.5105,143.8048,"Serious","02:15:00","Crash"
"92",-38.09217,144.3625,"No Serious Injury","00:30:00","Crash"
"93",-36.41728,145.7101,"Serious","03:30:00","Crash"
"94",-37.04866,143.7484,"No Serious Injury","22:15:00","Crash"
"95",-38.15949,144.344,"Serious","23:25:00","Crash"
"96",-37.81812,147.4944,"Serious","01:15:00","Crash"
"97",-36.77264,144.3563,"No Serious Injury","04:20:00","Crash"
"98",-38.11606,144.3304,"No Serious Injury","05:03:00","Crash"
"99",-38.09224,141.6567,"Serious","03:30:00","Crash"
"100",-37.32082,145.0467,"Serious","05:00:00","Crash"
"101",-38.69958,145.8474,"No Serious Injury","23:45:00","Crash"
"102",-38.01543,144.468,"No Serious Injury","22:30:00","Crash"
"103",-35.97159,144.5027,"Serious","04:00:00","Crash"
"104",-38.15441,145.9503,"No Serious Injury","23:50:00","Crash"
"105",-38.17069,146.4938,"Serious","05:10:00","Crash"
"106",-38.06888,144.3767,"No Serious Injury","23:30:00","Crash"
"107",-38.10853,144.34,"No Serious Injury","05:00:00","Crash"
"108",-38.21763,142.2757,"Serious","02:30:00","Crash"
"109",-38.0956,144.3472,"Serious","00:31:00","Crash"
"110",-38.35929,142.4556,"No Serious Injury","22:15:00","Crash"
"111",-38.22039,145.7984,"No Serious Injury","03:00:00","Crash"
"112",-38.32819,142.3676,"No Serious Injury","23:20:00","Crash"
"113",-36.39016,143.9748,"No Serious Injury","23:11:00","Crash"
"114",-38.3968,142.7539,"Serious","01:15:00","Crash"
"115",-37.63595,142.5643,"Serious","01:50:00","Crash"
"116",-37.0155,145.7905,"Serious","23:40:00","Crash"
"117",-38.15606,145.9019,"No Serious Injury","22:20:00","Crash"
"118",-37.56672,143.8583,"No Serious Injury","00:15:00","Crash"
"119",-37.98739,146.856,"Serious","22:23:00","Crash"
"120",-38.1541,144.3472,"Serious","00:20:00","Crash"
"121",-36.79008,144.2612,"No Serious Injury","22:30:00","Crash"
"122",-38.50324,142.7857,"Fatal","03:48:00","Crash"
"123",-36.01415,146.003,"No Serious Injury","04:43:00","Crash"
"124",-36.9001,146.6418,"No Serious Injury","23:35:00","Crash"
"125",-36.41102,142.9969,"No Serious Injury","02:00:00","Crash"
"126",-34.20203,142.1534,"Serious","22:20:00","Crash"
"127",-36.43359,142.1182,"Fatal","00:43:00","Crash"
"128",-38.17683,146.2654,"No Serious Injury","00:10:00","Crash"
"129",-36.15475,146.6249,"No Serious Injury","02:30:00","Crash"
"130",-36.76687,144.38,"Serious","23:00:00","Crash"
"131",-36.39326,145.3642,"Fatal","23:35:00","Crash"
"132",-36.36719,141.8218,"Serious","04:45:00","Crash"
"133",-36.3723,145.0351,"Fatal","00:10:00","Crash"
"134",-36.55035,146.8005,"Serious","22:45:00","Crash"
"135",-36.76942,144.2961,"Fatal","05:34:00","Crash"
"136",-38.62479,145.7097,"No Serious Injury","02:40:00","Crash"
"137",-36.099,146.8998,"Serious","00:30:00","Crash"
"138",-34.4291,142.191,"No Serious Injury","05:15:00","Crash"
"139",-37.03803,141.3335,"Serious","04:15:00","Crash"
"140",-38.45616,145.2205,"No Serious Injury","23:00:00","Crash"
"141",-38.16614,145.9345,"Fatal","23:59:00","Crash"
"142",-38.28538,145.7698,"No Serious Injury","06:00:00","Crash"
"143",-38.08411,144.3576,"No Serious Injury","22:10:00","Crash"
"144",-38.18597,144.3545,"Serious","02:15:00","Crash"
"145",-36.25457,145.0056,"Serious","05:55:00","Crash"
"146",-37.928,141.2702,"Serious","22:20:00","Crash"
"147",-36.58842,146.4501,"No Serious Injury","04:50:00","Crash"
"148",-37.56596,143.8849,"No Serious Injury","02:30:00","Crash"
"149",-38.54568,143.9821,"Serious","23:55:00","Crash"
"150",-38.1808,144.354,"No Serious Injury","22:00:00","Crash"
"151",-37.04122,144.2257,"Serious","01:30:00","Crash"
"152",-37.54725,143.8976,"Fatal","23:10:00","Crash"
"153",-36.31331,145.1296,"Serious","02:00:00","Crash"
"154",-37.49116,143.8315,"No Serious Injury","22:37:00","Crash"
"155",-37.52958,143.7795,"Serious","23:05:00","Crash"
"156",-37.56542,143.8777,"No Serious Injury","22:35:00","Crash"
"157",-37.33556,144.8166,"No Serious Injury","01:00:00","Crash"
"158",-36.77324,144.3052,"No Serious Injury","04:45:00","Crash"
"159",-37.53638,144.5775,"No Serious Injury","00:15:00","Crash"
"160",-34.29131,142.2154,"No Serious Injury","22:00:00","Crash"
"161",-34.63056,142.8439,"Serious","03:00:00","Crash"
"162",-36.2954,146.6638,"No Serious Injury","05:30:00","Crash"
"163",-37.16354,145.5229,"Fatal","05:15:00","Crash"
"164",-36.77181,144.1509,"Serious","00:10:00","Crash"
"165",-37.10297,144.2972,"Serious","00:10:00","Crash"
"166",-34.27116,142.1845,"No Serious Injury","01:00:00","Crash"
"167",-37.10458,144.0793,"Serious","23:40:00","Crash"
"168",-36.37261,143.5578,"Serious","01:45:00","Crash"
"169",-37.77769,147.1134,"No Serious Injury","00:30:00","Crash"
"170",-38.66322,143.7277,"No Serious Injury","01:30:00","Crash"
"171",-37.07279,142.7657,"No Serious Injury","00:40:00","Crash"
"172",-34.2516,142.1691,"No Serious Injury","05:36:00","Crash"
"173",-38.16784,144.4234,"Serious","22:50:00","Crash"
"174",-38.19146,144.3151,"No Serious Injury","23:10:00","Crash"
"175",-38.31235,146.7177,"No Serious Injury","04:10:00","Crash"
"176",-37.22611,144.1386,"No Serious Injury","00:30:00","Crash"
"177",-34.72033,143.1181,"No Serious Injury","04:00:00","Crash"
"178",-38.12687,144.3393,"Serious","22:50:00","Crash"
"179",-38.27912,146.4134,"Serious","23:25:00","Crash"
"180",-36.14916,147.4673,"No Serious Injury","00:15:00","Crash"
"181",-38.06642,144.3571,"No Serious Injury","05:45:00","Crash"
"182",-38.40247,143.0027,"Fatal","03:30:00","Crash"
"183",-38.11399,144.3335,"No Serious Injury","02:20:00","Crash"
"184",-38.74948,143.5541,"Serious","01:30:00","Crash"
"185",-37.79367,147.6041,"No Serious Injury","01:30:00","Crash"
"186",-38.16491,144.3294,"No Serious Injury","23:00:00","Crash"
"187",-38.41527,145.4389,"No Serious Injury","02:00:00","Crash"
"188",-34.18237,142.1648,"No Serious Injury","00:35:00","Crash"
"189",-37.0208,145.1344,"No Serious Injury","22:24:00","Crash"
"190",-37.9121,147.3096,"No Serious Injury","04:40:00","Crash"
"191",-37.35094,144.512,"No Serious Injury","23:55:00","Crash"
"192",-34.32219,142.1851,"No Serious Injury","05:50:00","Crash"
"193",-37.39669,144.2474,"No Serious Injury","22:35:00","Crash"
"194",-38.16755,144.3506,"No Serious Injury","22:40:00","Crash"
"195",-38.17146,143.8504,"Fatal","22:00:00","Crash"
"196",-36.78093,144.2705,"Serious","22:10:00","Crash"
"197",-38.20427,144.3032,"No Serious Injury","01:40:00","Crash"
"198",-37.0284,145.936,"Serious","22:54:00","Crash"
"199",-37.81804,147.5979,"Serious","00:05:00","Crash"
"200",-37.39118,144.4867,"Serious","03:00:00","Crash"
"201",-35.92532,145.6319,"No Serious Injury","05:30:00","Crash"
"202",-38.01317,144.5285,"Serious","04:20:00","Crash"
